seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,11,11,105,21,0,0.0948,1.0,0.1732,88,68,0.7727
seed42,x_mark,0.1,11,11,84,42,0,0.1158,1.0,0.2075,88,58,0.6591
seed42,x_mark,0.15,11,11,65,61,0,0.1447,1.0,0.2529,88,48,0.5455
seed42,x_mark,0.2,11,11,53,73,0,0.1719,1.0,0.2933,88,39,0.4432
seed42,x_mark,0.25,11,11,35,91,0,0.2391,1.0,0.386,88,23,0.2614
seed42,x_mark,0.3,11,8,32,94,3,0.2,0.7273,0.3137,88,21,0.2386
seed42,x_mark,0.35,11,7,21,105,4,0.25,0.6364,0.359,88,15,0.1705
seed42,x_mark,0.4,11,7,20,106,4,0.2593,0.6364,0.3684,88,15,0.1705
seed42,x_mark,0.45,11,5,15,111,6,0.25,0.4545,0.3226,88,11,0.125
seed42,x_mark,0.5,11,5,4,122,6,0.5556,0.4545,0.5,88,2,0.0227
seed42,x_mark,0.55,11,2,4,122,9,0.3333,0.1818,0.2353,88,2,0.0227
seed42,x_mark,0.6,11,1,4,122,10,0.2,0.0909,0.125,88,2,0.0227
seed42,x_mark,0.65,11,1,3,123,10,0.25,0.0909,0.1333,88,2,0.0227
seed42,x_mark,0.7,11,0,1,125,11,0.0,0.0,0.0,88,0,0.0
seed42,x_mark,0.75,11,0,0,126,11,0.0,0.0,0.0,88,0,0.0
seed42,x_mark,0.8,11,0,0,126,11,0.0,0.0,0.0,88,0,0.0
seed42,x_mark,0.85,11,0,0,126,11,0.0,0.0,0.0,88,0,0.0
seed42,x_mark,0.9,11,0,0,126,11,0.0,0.0,0.0,88,0,0.0
seed42,x_mark,0.95,11,0,0,126,11,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.05,1,1,58,78,0,0.0169,1.0,0.0333,88,46,0.5227
seed42,play_triangle,0.1,1,1,41,95,0,0.0238,1.0,0.0465,88,31,0.3523
seed42,play_triangle,0.15,1,1,38,98,0,0.0256,1.0,0.05,88,31,0.3523
seed42,play_triangle,0.2,1,1,30,106,0,0.0323,1.0,0.0625,88,27,0.3068
seed42,play_triangle,0.25,1,1,13,123,0,0.0714,1.0,0.1333,88,11,0.125
seed42,play_triangle,0.3,1,1,2,134,0,0.3333,1.0,0.5,88,2,0.0227
seed42,play_triangle,0.35,1,1,0,136,0,1.0,1.0,1.0,88,0,0.0
seed42,play_triangle,0.4,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.45,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.5,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.55,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.6,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.65,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.7,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.75,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.8,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.85,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.9,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,play_triangle,0.95,1,0,0,136,1,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.05,3,3,91,43,0,0.0319,1.0,0.0619,88,61,0.6932
seed42,google_play,0.1,3,3,59,75,0,0.0484,1.0,0.0923,88,44,0.5
seed42,google_play,0.15,3,3,43,91,0,0.0652,1.0,0.1224,88,36,0.4091
seed42,google_play,0.2,3,3,25,109,0,0.1071,1.0,0.1935,88,22,0.25
seed42,google_play,0.25,3,3,21,113,0,0.125,1.0,0.2222,88,18,0.2045
seed42,google_play,0.3,3,3,9,125,0,0.25,1.0,0.4,88,7,0.0795
seed42,google_play,0.35,3,3,8,126,0,0.2727,1.0,0.4286,88,7,0.0795
seed42,google_play,0.4,3,2,7,127,1,0.2222,0.6667,0.3333,88,6,0.0682
seed42,google_play,0.45,3,2,7,127,1,0.2222,0.6667,0.3333,88,6,0.0682
seed42,google_play,0.5,3,2,4,130,1,0.3333,0.6667,0.4444,88,4,0.0455
seed42,google_play,0.55,3,2,0,134,1,1.0,0.6667,0.8,88,0,0.0
seed42,google_play,0.6,3,2,0,134,1,1.0,0.6667,0.8,88,0,0.0
seed42,google_play,0.65,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.7,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.75,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.8,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.85,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.9,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,google_play,0.95,3,0,0,134,3,0.0,0.0,0.0,88,0,0.0
seed42,next,0.05,2,2,103,32,0,0.019,1.0,0.0374,88,57,0.6477
seed42,next,0.1,2,2,85,50,0,0.023,1.0,0.0449,88,48,0.5455
seed42,next,0.15,2,2,51,84,0,0.0377,1.0,0.0727,88,32,0.3636
seed42,next,0.2,2,2,42,93,0,0.0455,1.0,0.087,88,24,0.2727
seed42,next,0.25,2,2,28,107,0,0.0667,1.0,0.125,88,13,0.1477
seed42,next,0.3,2,2,26,109,0,0.0714,1.0,0.1333,88,13,0.1477
seed42,next,0.35,2,2,10,125,0,0.1667,1.0,0.2857,88,0,0.0
seed42,next,0.4,2,2,7,128,0,0.2222,1.0,0.3636,88,0,0.0
seed42,next,0.45,2,0,7,128,2,0.0,0.0,0.0,88,0,0.0
seed42,next,0.5,2,0,6,129,2,0.0,0.0,0.0,88,0,0.0
