weight,seed,family,scope,count,mean,min,p10,p25,p50,p75,p90,p95,max
1.0,44,google_play,none_of_the_above,88,0.28624,0.06,0.13668,0.19234,0.28173,0.3679,0.45203,0.45203,0.4713
1.0,44,next,positive,2,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349,0.34349
1.0,44,next,family_negative,135,0.27545,0.09987,0.15633,0.19712,0.28373,0.32317,0.40597,0.42231,0.4845
1.0,44,next,none_of_the_above,88,0.27385,0.09987,0.14832,0.19599,0.2969,0.32317,0.41087,0.42231,0.42231
1.0,44,free,positive,9,0.52166,0.51486,0.52098,0.52251,0.52251,0.52251,0.52251,0.52251,0.52251
1.0,44,free,family_negative,128,0.37262,0.13997,0.28826,0.31741,0.38363,0.43604,0.47258,0.47588,0.54887
1.0,44,free,none_of_the_above,88,0.37048,0.13997,0.28934,0.315,0.39127,0.43604,0.47357,0.47588,0.54887
1.0,44,got,positive,14,0.48432,0.31759,0.39182,0.45501,0.50314,0.52609,0.5426,0.56972,0.61804
1.0,44,got,family_negative,123,0.25713,0.08262,0.13288,0.19708,0.26163,0.30207,0.3916,0.41722,0.41722
1.0,44,got,none_of_the_above,88,0.25743,0.08262,0.14762,0.19594,0.27094,0.28131,0.40736,0.41722,0.41722
1.0,44,arrow,positive,11,0.54156,0.37194,0.38112,0.5338,0.57624,0.59287,0.60962,0.61129,0.61297
1.0,44,arrow,family_negative,126,0.32082,0.14878,0.19375,0.24536,0.3184,0.3892,0.45297,0.50481,0.63224
1.0,44,arrow,none_of_the_above,88,0.31989,0.14878,0.17081,0.26179,0.3184,0.3892,0.43721,0.45297,0.45297
2.0,42,x_mark,positive,11,0.43454,0.25078,0.25704,0.28932,0.43833,0.52735,0.58654,0.61921,0.65187
2.0,42,x_mark,family_negative,126,0.20354,0.00716,0.03083,0.08409,0.1605,0.29245,0.48282,0.48282,0.71278
2.0,42,x_mark,none_of_the_above,88,0.20298,0.00716,0.02195,0.05547,0.18521,0.26758,0.48282,0.48282,0.65539
2.0,42,play_triangle,positive,1,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943,0.37943
2.0,42,play_triangle,family_negative,136,0.08999,0.00081,0.00732,0.01155,0.03489,0.16507,0.2375,0.29395,0.32215
2.0,42,play_triangle,none_of_the_above,88,0.10716,0.00449,0.01048,0.02144,0.05492,0.22696,0.29395,0.29395,0.32215
2.0,42,google_play,positive,3,0.53296,0.39207,0.43399,0.49687,0.60166,0.60341,0.60446,0.60481,0.60516
2.0,42,google_play,family_negative,134,0.12648,0.00281,0.0109,0.03056,0.09374,0.15133,0.28663,0.41075,0.53219
2.0,42,google_play,none_of_the_above,88,0.14459,0.008,0.01131,0.03036,0.09937,0.20915,0.28777,0.49401,0.53219
2.0,42,next,positive,2,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533,0.41533
2.0,42,next,family_negative,135,0.16881,0.00248,0.0167,0.05719,0.13244,0.21938,0.32573,0.40906,0.84249
2.0,42,next,none_of_the_above,88,0.13198,0.00248,0.00518,0.03602,0.12671,0.209,0.32144,0.32573,0.32573
2.0,42,free,positive,9,0.93301,0.93208,0.93208,0.93208,0.93208,0.93208,0.93376,0.93711,0.94046
2.0,42,free,family_negative,128,0.21418,0.00626,0.04281,0.08123,0.1511,0.37216,0.46245,0.53297,0.70697
2.0,42,free,none_of_the_above,88,0.22038,0.00626,0.04864,0.09058,0.1511,0.39337,0.47832,0.53297,0.53297
2.0,42,got,positive,14,0.46628,0.32017,0.34455,0.41176,0.47208,0.53699,0.55837,0.5708,0.59228
2.0,42,got,family_negative,123,0.11629,0.0037,0.01641,0.02721,0.0961,0.13296,0.28505,0.45814,0.45814
2.0,42,got,none_of_the_above,88,0.11862,0.0037,0.01217,0.02721,0.09264,0.12312,0.28151,0.45814,0.45814
2.0,42,arrow,positive,11,0.68374,0.21353,0.37439,0.6249,0.76105,0.83265,0.84076,0.89328,0.9458
2.0,42,arrow,family_negative,126,0.18161,0.00183,0.00937,0.06756,0.11958,0.21944,0.40801,0.62517,0.91491
2.0,42,arrow,none_of_the_above,88,0.16138,0.00183,0.00853,0.05647,0.1193,0.17752,0.43604,0.62517,0.62517
2.0,43,x_mark,positive,11,0.55018,0.38264,0.4574,0.5225,0.5608,0.58433,0.65993,0.65993,0.65993
2.0,43,x_mark,family_negative,126,0.29221,0.04861,0.11069,0.1478,0.24932,0.43035,0.48894,0.58074,0.68503
2.0,43,x_mark,none_of_the_above,88,0.3005,0.04861,0.06844,0.18155,0.27246,0.45751,0.48894,0.48894,0.59189
2.0,43,play_triangle,positive,1,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482
2.0,43,play_triangle,family_negative,136,0.1548,0.01435,0.02723,0.06137,0.13282,0.24104,0.34031,0.35532,0.4112
2.0,43,play_triangle,none_of_the_above,88,0.17753,0.01435,0.02812,0.0812,0.16868,0.27824,0.35532,0.35532,0.40208
2.0,43,google_play,positive,3,0.42988,0.36066,0.36555,0.37288,0.3851,0.46449,0.51213,0.52801,0.54389
2.0,43,google_play,family_negative,134,0.15049,0.00445,0.03067,0.07161,0.11879,0.2361,0.28335,0.30079,0.42088
2.0,43,google_play,none_of_the_above,88,0.16848,0.00445,0.02904,0.07823,0.1641,0.28123,0.28335,0.29772,0.33364
2.0,43,next,positive,2,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979
2.0,43,next,family_negative,135,0.22891,0.0289,0.06978,0.11066,0.19007,0.31424,0.44637,0.51987,0.76289
2.0,43,next,none_of_the_above,88,0.20894,0.0289,0.05279,0.0941,0.19951,0.31424,0.42447,0.42447,0.46259
2.0,43,free,positive,9,0.71216,0.70629,0.71157,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289
2.0,43,free,family_negative,128,0.2258,0.01311,0.06165,0.09317,0.20033,0.29662,0.42135,0.51013,0.66098
2.0,43,free,none_of_the_above,88,0.23754,0.01311,0.05765,0.11625,0.25533,0.36942,0.43436,0.51013,0.51013
2.0,43,got,positive,14,0.29297,0.21117,0.25895,0.27216,0.28462,0.32032,0.33584,0.34511,0.36227
2.0,43,got,family_negative,123,0.14299,0.00423,0.03492,0.06327,0.09315,0.22274,0.25119,0.43485,0.43485
2.0,43,got,none_of_the_above,88,0.14914,0.00857,0.0378,0.07145,0.09042,0.22274,0.31667,0.43485,0.43485
2.0,43,arrow,positive,11,0.5338,0.1854,0.31403,0.42046,0.55939,0.67866,0.71938,0.73884,0.7583
2.0,43,arrow,family_negative,126,0.20023,0.00424,0.01296,0.0988,0.15929,0.31278,0.49525,0.49525,0.70678
2.0,43,arrow,none_of_the_above,88,0.18975,0.00424,0.01116,0.05486,0.13302,0.31278,0.49525,0.49525,0.498
2.0,44,x_mark,positive,11,0.58264,0.49567,0.50282,0.53372,0.6117,0.63675,0.64764,0.64816,0.64869
2.0,44,x_mark,family_negative,126,0.48319,0.2034,0.36111,0.42543,0.47515,0.55732,0.59943,0.65525,0.7261
